state_0,state_1,state_2,state_3,action_count,next_state_0,next_state_1,next_state_2,next_state_3,rewards
0.02255745,0.04159293,-0.025516339,0.024591848,0,0.02338931,-0.15315399,-0.025024502,0.30911613,1
0.02338931,-0.15315399,-0.025024502,0.30911613,1,0.020326229,0.042315423,-0.018842177,0.008647392,1
0.020326229,0.042315423,-0.018842177,0.008647392,0,0.021172538,-0.15253131,-0.01866923,0.29532632,1
0.021172538,-0.15253131,-0.01866923,0.29532632,1,0.018121911,0.042851754,-0.012762704,-0.0031856203,1
0.018121911,0.042851754,-0.012762704,-0.0031856203,0,0.018978948,-0.15208486,-0.012826417,0.28544337,1
0.018978948,-0.15208486,-0.012826417,0.28544337,1,0.01593725,0.04321765,-0.0071175494,-0.01125718,1
0.01593725,0.04321765,-0.0071175494,-0.01125718,0,0.016801603,-0.15180151,-0.007342693,0.27917162,1
0.016801603,-0.15180151,-0.007342693,0.27917162,1,0.013765573,0.04342442,-0.0017592608,-0.01581812,1
0.013765573,0.04342442,-0.0017592608,-0.01581812,0,0.014634062,-0.15167226,-0.0020756233,0.27630922,1
0.014634062,-0.15167226,-0.0020756233,0.27630922,1,0.011600616,0.043479245,0.0034505613,-0.017027635,1
0.011600616,0.043479245,0.0034505613,-0.017027635,0,0.012470201,-0.15169202,0.0031100085,0.27674198,1
0.012470201,-0.15169202,0.0031100085,0.27674198,1,0.009436361,0.043385424,0.008644848,-0.014958426,1
0.009436361,0.043385424,0.008644848,-0.014958426,0,0.010304069,-0.15185943,0.008345679,0.28043947,1
0.010304069,-0.15185943,0.008345679,0.28043947,1,0.0072668805,0.043142483,0.013954469,-0.009599617,1
0.0072668805,0.043142483,0.013954469,-0.009599617,0,0.00812973,-0.15217678,0.013762477,0.28745323,1
0.00812973,-0.15217678,0.013762477,0.28745323,1,0.0050861943,0.042746224,0.019511541,-0.0008575436,1
0.0050861943,0.042746224,0.019511541,-0.0008575436,0,0.0059411186,-0.15265004,0.01949439,0.2979171,1
0.0059411186,-0.15265004,0.01949439,0.2979171,1,0.002888118,0.042188674,0.025452733,0.011445537,1
0.002888118,0.042188674,0.025452733,0.011445537,1,0.0037318913,0.23693652,0.025681643,-0.27309933,1
0.0037318913,0.23693652,0.025681643,-0.27309933,0,0.008470622,0.041457728,0.020219656,0.027571758,1
0.008470622,0.041457728,0.020219656,0.027571758,1,0.0092997765,0.23628396,0.020771092,-0.25866368,1
0.0092997765,0.23628396,0.020771092,-0.25866368,0,0.014025455,0.040871736,0.015597818,0.040497687,1
0.014025455,0.040871736,0.015597818,0.040497687,1,0.01484289,0.23576659,0.016407771,-0.24722345,1
0.01484289,0.23576659,0.016407771,-0.24722345,0,0.019558223,0.040414188,0.011463303,0.050589368,1
0.019558223,0.040414188,0.011463303,0.050589368,1,0.020366507,0.2353699,0.01247509,-0.23845486,1
0.020366507,0.2353699,0.01247509,-0.23845486,0,0.025073905,0.04007198,0.007705993,0.058136817,1
0.025073905,0.04007198,0.007705993,0.058136817,1,0.025875343,0.2350826,0.00886873,-0.23210488,1
